I,P,U
0,0,0.9
0.01,0,1.16976394
0.02,0,1.246799193
0.03,0,1.311335423
0.04,0,1.323372629
0.05,0,1.332910813
0.06,0,1.369949975
0.07,0,1.394490113
0.08,0,1.403
0.09,0,1.42073321
0.1,0,1.429698546
0.11,0,1.436671109
0.12,0,1.443314281
0.13,0,1.44936064
0.14,0,1.454227514
0.15,0,1.458302071
0.16,0,1.461584311
0.17,0,1.464074235
0.18,0,1.467354532
0.19,0,1.473882315
0.2,0,1.481300342
0.21,0,1.489135933
0.22,0,1.494885731
0.23,0,1.500006
0.24,0,1.504496739
0.25,0,1.508357948
0.26,0,1.511589628
0.27,0,1.514191779
0.28,0,1.518761829
0.29,0,1.523944694
0.3,0,1.529347895
0.31,0,1.534971431
0.32,0,1.540815302
0.33,0,1.546879509
0.34,0,1.552607888
0.35,0,1.557796023
0.36,0,1.562889729
0.37,0,1.567889005
0.38,0.002560431,1.572793852
0.39,0.005217431,1.57760427
0.4,0.010355262,1.582246015
0.41,0.0152569,1.586383035
0.42,0.019922345,1.59029972
0.43,0.024351597,1.59399607
0.44,0.028544656,1.597472084
0.45,0.032501522,1.600727763
0.46,0.036222194,1.603763107
0.47,0.039706674,1.607228045
0.48,0.042954961,1.610788287
0.49,0.045967055,1.61434212
0.5,0.048742956,1.617889542
0.51,0.051811538,1.621430555
0.52,0.05486215,1.625171341
0.53,0.057808111,1.629012723
0.54,0.06064942,1.632928885
0.55,0.063386078,1.636919828
0.56,0.066018084,1.640750787
0.57,0.068545438,1.644020192
0.58,0.069307016,1.647083949
0.59,0.073679917,1.649942061
0.6,0.078242796,1.652594526
0.61,0.082795894,1.655041345
0.62,0.087242418,1.657297437
0.63,0.091557285,1.661243714
0.64,0.095674644,1.66550407
0.65,0.099546969,1.670078503
0.66,0.103149443,1.674967015
0.67,0.106484343,1.680119774
0.68,0.10958543,1.683739183
0.69,0.112522334,1.687044514
0.7,0.115404944,1.690035767
0.71,0.118176977,1.692712941
0.72,0.12082222,1.695076038
0.73,0.123295811,1.697125057
0.74,0.125552973,1.699860821
0.75,0.127704415,1.703064514
0.76,0.129852029,1.706362636
0.77,0.132086042,1.709755188
0.78,0.134482177,1.713242169
0.79,0.13709881,1.71682358
0.8,0.139974126,1.720156047
0.81,0.143123278,1.722784832
0.82,0.146575054,1.725224757
0.83,0.150278267,1.727475824
0.84,0.154113982,1.729538031
0.85,0.157928921,1.73141138
0.86,0.161632716,1.733139364
0.87,0.165258267,1.736495668
0.88,0.168771169,1.740166737
0.89,0.172145933,1.74415257
0.9,0.175368198,1.748453169
0.91,0.17843694,1.753068532
0.92,0.181366692,1.75799866
0.93,0.1841696,1.761644179
0.94,0.186896602,1.764337277
0.95,0.189567641,1.766687632
0.96,0.192197523,1.768695242
0.97,0.194814227,1.770360109
0.98,0.197442164,1.771682232
0.99,0.200101034,1.772661611
1,0.202804679,1.776760975
1.01,0.205559945,1.779929655
1.02,0.208365533,1.78309691
1.03,0.21121086,1.786262738
1.04,0.214074912,1.789416305
1.05,0.216925102,1.792470339
1.06,0.219760094,1.795510312
1.07,0.222595085,1.798536225
1.08,0.225436377,1.801548077
1.09,0.22828153,1.804545869
1.1,0.231122708,1.8075296
1.11,0.23395274,1.810499271
1.12,0.236765342,1.813454882
1.13,0.239555324,1.816396433
1.14,0.24231881,1.819323923
1.15,0.245053448,1.822237353
1.16,0.247758628,1.825136722
1.17,0.250435693,1.828022031
1.18,0.253088158,1.830893279
1.19,0.255721919,1.833750468
1.2,0.258345472,1.836593595
1.21,0.260956377,1.839422663
1.22,0.263551952,1.842149669
1.23,0.266132197,1.844323925
1.24,0.268697113,1.846419029
1.25,0.271246699,1.84843498
1.26,0.273780955,1.85037178
1.27,0.276299881,1.852229427
1.28,0.278782889,1.854007923
1.29,0.281245438,1.855707266
1.3,0.283707223,1.857327457
1.31,0.286185541,1.858868496
1.32,0.288694879,1.860330383
1.33,0.2912465,1.861713118
1.34,0.293848026,1.863016701
1.35,0.296503026,1.864241131
1.36,0.2992106,1.865386409
1.37,0.301964965,1.866452536
1.38,0.304755041,1.86743951
1.39,0.307564036,1.868347332
1.4,0.31036903,1.869176002
1.41,0.313185483,1.86992552
1.42,0.316016244,1.870595885
1.43,0.318861312,1.871187099
1.44,0.321720689,1.87169916
1.45,0.324589812,1.87213207
1.46,0.327468556,1.872485827
1.47,0.330364387,1.872931664
1.48,0.333284042,1.874425163
1.49,0.336233358,1.875938268
1.5,0.339217093,1.877470981
1.51,0.342238762,1.8790233
1.52,0.345300454,1.880595225
1.53,0.348402665,1.882186757
1.54,0.351544124,1.883797896
1.55,0.354721615,1.885428641
1.56,0.357929811,1.887078993
1.57,0.361161096,1.888748952
1.58,0.364437,1.890438517
1.59,0.367763219,1.892147688
1.6,0.371104424,1.893876467
1.61,0.374427512,1.895624852
1.62,0.377702691,1.897392843
1.63,0.38090458,1.899180441
1.64,0.384013297,1.900987646
1.65,0.387015552,1.902814457
1.66,0.389905742,1.904660875
1.67,0.392687039,1.9065269
1.68,0.39537249,1.908412531
1.69,0.397986101,1.910317769
1.7,0.400563936,1.912005555
1.71,0.403107955,1.913582234
1.72,0.40560055,1.915148897
1.73,0.408041722,1.916705542
1.74,0.41043147,1.91825217
1.75,0.412769795,1.919788782
1.76,0.41502522,1.921315376
1.77,0.417201389,1.922831953
1.78,0.419345989,1.924338514
1.79,0.421501822,1.925835057
1.8,0.42370573,1.927321583
1.81,0.425987531,1.928798092
1.82,0.428368937,1.930264584
1.83,0.430862487,1.931721059
1.84,0.433470472,1.933167517
1.85,0.436183866,1.934603958
1.86,0.438981248,1.936030382
1.87,0.441827735,1.937446789
1.88,0.444673906,1.938853179
1.89,0.44751854,1.940249552
1.9,0.450383821,1.941635908
1.91,0.453277092,1.943012246
1.92,0.456205223,1.944378568
1.93,0.459174385,1.945734873
1.94,0.462189823,1.947081161
1.95,0.465255624,1.948417431
1.96,0.468374497,1.949743685
1.97,0.47154754,1.95108286
1.98,0.474774013,1.952596617
1.99,0.478051112,1.954114765
2,0.481373742,1.955637305
2.01,0.484734286,1.957164237
2.02,0.488156622,1.958695561
2.03,0.491643131,1.960231277
2.04,0.495157949,1.961771385
2.05,0.498667516,1.963315885
2.06,0.502141683,1.964864777
2.07,0.505554825,1.96641806
2.08,0.508886952,1.967975736
2.09,0.512124819,1.969537803
2.1,0.51526304,1.971104263
2.11,0.518305195,1.972675114
2.12,0.521264944,1.974250357
2.13,0.524167138,1.975829992
2.14,0.527048929,1.977414019
2.15,0.529909336,1.979002438
2.16,0.532731825,1.980595249
2.17,0.535515296,1.982156286
2.18,0.538248831,1.983593906
2.19,0.540943774,1.985020556
2.2,0.54361066,1.986436237
2.21,0.546258925,1.987840948
2.22,0.548896625,1.98923469
2.23,0.551530143,1.990617463
2.24,0.554163909,1.991989266
2.25,0.556800109,1.9933501
2.26,0.559438401,1.994699964
2.27,0.56207563,1.996038859
2.28,0.564705536,1.997366784
2.29,0.567318475,1.99868374
2.3,0.569903528,1.999989727
2.31,0.572471139,2.001284744
2.32,0.575021308,2.002568792
2.33,0.577554035,2.00384187
2.34,0.58006932,2.005103979
2.35,0.582567163,2.006355118
2.36,0.585047565,2.007595288
2.37,0.587510524,2.000409262
2.38,0.589956042,2.005174801
2.39,0.59236176,2.009591279
2.4,0.59471547,2.013658695
2.41,0.597065187,2.017377051
2.42,0.59945342,2.020746345
2.43,0.60191629,2.023766578
2.44,0.604482651,2.02643775
2.45,0.60717321,2.028759861
2.46,0.609999642,2.03073291
2.47,0.612963714,2.032356899
2.48,0.616056404,2.033631826
2.49,0.619257018,2.034557692
2.5,0.622532311,2.035134496
2.51,0.625835607,2.03536224
2.52,0.629154696,2.035240922
2.53,0.632519302,2.034770543
2.54,0.635929424,2.037473395
2.55,0.639385063,2.038376866
2.56,0.642886218,2.03928078
2.57,0.64643289,2.040185139
2.58,0.650025079,2.041089943
2.59,0.653707944,2.041995191
2.6,0.657471844,2.042900884
2.61,0.66125164,2.043807021
2.62,0.664989531,2.044713603
2.63,0.668636394,2.04562063
2.64,0.672153109,2.0465281
2.65,0.675511896,2.047436016
2.66,0.678697644,2.048344376
2.67,0.681709246,2.04925318
2.68,0.68456093,2.050162429
2.69,0.687283591,2.051072123
2.7,0.689926121,2.051982261
2.71,0.692556748,2.052892843
2.72,0.695165829,2.05380387
2.73,0.697725173,2.054715342
2.74,0.70023478,2.055627258
2.75,0.702694651,2.056539619
2.76,0.70509631,2.057452424
2.77,0.707422588,2.058365673
2.78,0.709702446,2.059279368
2.79,0.71196226,2.060193506
2.8,0.714225161,2.06110809
2.81,0.716510376,2.062023117
2.82,0.718832573,2.06293859
2.83,0.721201203,2.063854507
2.84,0.723619843,2.064770868
2.85,0.726085536,2.065687674
2.86,0.728588136,2.066604924
2.87,0.731109651,2.067522619
2.88,0.733623582,2.068440759
2.89,0.736112759,2.069359343
2.9,0.738599211,2.070278371
2.91,0.741082937,2.071197844
2.92,0.743563939,2.072117762
2.93,0.746042215,2.073038124
2.94,0.748517765,2.07395893
2.95,0.750990591,2.074880182
2.96,0.753450128,2.075801877
2.97,0.755892461,2.076724017
2.98,0.758338405,2.077646602
2.99,0.760806528,2.078569631
3,0.76331273,2.079493105
3.01,0.76586983,2.080417023
3.02,0.768487137,2.081341386
3.03,0.771170041,2.082266193
3.04,0.773919583,2.083191445
3.05,0.776732047,2.084117142
3.06,0.779598532,2.085043283
3.07,0.782504535,2.085969868
3.08,0.785429535,2.086896898
3.09,0.788369615,2.087824372
3.1,0.791336948,2.088752291
3.11,0.794343848,2.089680655
3.12,0.797388656,2.090609463
3.13,0.800453337,2.091739187
3.14,0.803521338,2.092982348
3.15,0.806578075,2.094246899
3.16,0.809611426,2.095532839
3.17,0.812612221,2.096840169
3.18,0.81557473,2.098168889
3.19,0.818497153,2.099518999
3.2,0.821382113,2.100890498
3.21,0.824237144,2.102283387
3.22,0.82707518,2.103697666
