f,s21
0,0.586787565
0.01,0.58716005
0.02,0.587416979
0.03,0.587558351
0.04,0.587584167
0.05,0.587494426
0.06,0.587289129
0.07,0.586968276
0.08,0.586531865
0.09,0.585979899
0.1,0.585312375
0.11,0.584529296
0.12,0.58363066
0.13,0.582616467
0.14,0.581486718
0.15,0.580241412
0.16,0.57888055
0.17,0.577404131
0.18,0.575812156
0.19,0.574104625
0.2,0.572281537
0.21,0.570342892
0.22,0.568288691
0.23,0.566118933
0.24,0.563833619
0.25,0.561432748
0.26,0.558916321
0.27,0.556284338
0.28,0.553536798
0.29,0.550673701
0.3,0.547695048
0.31,0.544600838
0.32,0.541391072
0.33,0.53806575
0.34,0.534624871
0.35,0.531068435
0.36,0.527396443
0.37,0.523608894
0.38,0.519705789
0.39,0.515687128
0.4,0.51155291
0.41,0.507303135
0.42,0.56371399
0.43,0.559490848
0.44,0.555010765
0.45,0.550273739
0.46,0.545279772
0.47,0.540028862
0.48,0.534521011
0.49,0.528756218
0.5,0.522734482
0.51,0.516455805
0.52,0.509920186
0.53,0.503127625
0.54,0.496078122
0.55,0.488771677
0.56,0.48120829
0.57,0.473387961
0.58,0.465310691
0.59,0.456976478
0.6,0.448385323
0.61,0.439537226
0.62,0.430432188
0.63,0.421070207
0.64,0.411451285
0.65,0.40157542
0.66,0.391442614
0.67,0.381052866
0.68,0.370406175
0.69,0.359502543
0.7,0.348341969
0.71,0.336924453
0.72,0.325249995
0.73,0.313318595
0.74,0.301130253
0.75,0.292796352
0.76,0.288214064
0.77,0.283884703
0.78,0.279808269
0.79,0.275984763
0.8,0.272414184
0.81,0.269096532
0.82,0.266031808
0.83,0.26322001
0.84,0.26066114
0.85,0.258355197
0.86,0.256302181
0.87,0.254502093
0.88,0.252954932
0.89,0.251660698
0.9,0.250619391
0.91,0.249831011
0.92,0.249295559
0.93,0.249013034
0.94,0.248983436
0.95,0.249206765
0.96,0.249683022
0.97,0.250412206
0.98,0.251394317
0.99,0.252629355
1,0.254117321
1.01,0.255858213
1.02,0.257852033
1.03,0.26009878
1.04,0.262598455
1.05,0.265351057
1.06,0.268356585
1.07,0.271615042
1.08,0.275126425
1.09,0.278890736
1.1,0.282907973
1.11,0.287178138
1.12,0.291701231
1.13,0.294889528
1.14,0.292917306
1.15,0.290845892
1.16,0.288675286
1.17,0.28640549
1.18,0.284036501
1.19,0.281568322
1.2,0.279000951
1.21,0.276334388
1.22,0.273568634
1.23,0.270703688
1.24,0.267739551
1.25,0.264676222
1.26,0.261513702
1.27,0.25825199
1.28,0.254891087
1.29,0.251430992
1.3,0.247871706
1.31,0.244213229
1.32,0.240455559
